1	0.3	0.	0.3	
2	0.3	0.	0.1	
3	0.3	0.	-0.1	
4	0.3	0.	-0.3	
5	1.e-001	0.	0.3	
6	1.e-001	0.	1.e-001	
7	1.e-001	0.	-0.1	
8	1.e-001	0.	-0.3	
9	-0.1	0.	0.3	
10	-0.1	0.	0.1	
11	-0.1	0.	-0.1	
12	-0.1	0.	-0.3	
13	-0.3	0.	0.3	
14	-0.3	0.	0.1	
15	-0.3	0.	-1.e-001	
16	-0.3	0.	-0.3	
53	-0.3	0.	0.5	
54	-0.1	0.	0.5	
55	1.e-001	0.	0.5	
56	0.3	0.	0.5	
57	-0.5	0.	0.5	
58	0.5	0.	0.5	
59	0.5	0.	0.3	
60	0.5	0.	1.e-001	
61	0.5	0.	-0.1	
62	0.5	0.	-0.3	
63	0.5	0.	-0.5	
64	0.3	0.	-0.5	
65	1.e-001	0.	-0.5	
66	-0.1	0.	-0.5	
67	-0.3	0.	-0.5	
68	-0.5	0.	-0.5	
69	-0.5	0.	-0.3	
70	-0.5	0.	-1.e-001	
71	-0.5	0.	0.1	
72	-0.5	0.	0.3	
